from_country_id,to_country_id,flow_1990,flow_1995,flow_2000,flow_2005
1,1,0,0,0,0
1,2,1509,190436,238,28
2,1,56108,635,84430,96074
2,2,0,0,0,0
1,3,1831,0,68,20
1,4,0,0,0,2121
1,5,21,0,0,0
1,6,669,0,0,0
1,7,225,4,34,30
1,8,73,0,4,11
1,9,8,0,0,0
1,10,0,0,0,0
1,11,259,0,0,257
1,12,79,0,1,15
1,13,0,0,0,0
1,14,19,1,8,5
1,15,0,0,0,0
1,16,66,21,115,162
1,17,0,0,36,76
1,18,0,3,1,0
1,19,0,0,0,0
1,20,192,0,0,0
1,21,84,7,3,1
1,22,102,19,10,10
1,23,723,0,0,0
1,24,0,0,0,0
1,25,51,0,0,0
1,26,8,3,3,0
1,27,0,125,0,13
1,28,49,406,0,62
1,29,423,96,0,0
1,30,0,0,0,0
1,31,0,0,0,0
1,32,16,0,15,9
1,33,65,0,0,0
1,34,3,0,0,0
1,35,24,0,9,7
1,36,6,0,5,5
1,37,11,17,0,0
1,38,0,0,0,0
1,39,132,0,0,0
1,40,3,0,0,0
1,41,0,0,0,0
1,42,0,0,0,0
1,43,0,4519,11,954
1,44,1246,0,184,0
1,45,20,0,0,0
1,46,7,15,6,0
1,47,0,0,0,0
1,48,0,0,917,4848
1,49,1,0,0,0
1,50,5,5,0,2
1,51,0,0,312,0
1,52,4,2,0,0
1,53,2,0,0,5
1,54,29,0,0,742
1,55,14,170,57,466
1,56,20451,274,891,747
1,57,51,0,0,0
1,58,0,0,0,0
2,3,4345,0,1229,1045
2,4,0,0,0,1536
2,5,168,0,29,10
2,6,17,0,0,0
2,7,607,2,698,768
2,8,730,0,130,277
2,9,418,0,0,0
2,10,14,0,285,16
2,11,4872,0,0,188
2,12,281,0,39,499
2,13,1,0,10,2
2,14,239,4,217,236
2,15,0,0,0,0
2,16,17,0,1806,2037
2,17,0,0,759,1390
2,18,0,0,20,0
2,19,0,0,28,4
2,20,0,0,0,0
2,21,347,0,52,38
2,22,506,1,189,207
2,23,3261,0,0,0
2,24,1,0,0,0
2,25,224,0,0,15
2,26,287,54,380,116
2,27,2,0,0,11
2,28,939,8403,0,13221
2,29,111,0,341,528
2,30,34,0,37,30
2,31,0,0,7,10
2,32,79,0,668,213
2,33,179,0,0,0
2,34,20,0,0,0
2,35,93,0,190,119
2,36,70,0,78,72
2,37,24,0,0,0
2,38,14,0,197,69
2,39,495,0,0,0
2,40,45,1,0,0
2,41,27,0,0,0
2,42,25,0,578,133
2,43,0,1095,42,722
2,44,465,0,544,0
2,45,441,0,0,0
2,46,193,20,5664,0
2,47,0,0,0,0
2,48,0,0,1583,11165
2,49,4,0,1,2
2,50,59,0,0,83
